iter	Passed	Remaining
0	1	166
1	2	138
2	4	137
3	5	125
4	6	121
5	8	129
6	9	129
7	11	126
8	12	129
9	14	129
10	15	126
11	16	124
12	18	125
13	20	124
14	21	122
15	22	118
16	24	118
17	26	119
18	27	117
19	28	114
20	29	112
21	31	109
22	32	109
23	34	108
24	35	107
25	36	104
26	38	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	94
32	45	92
33	47	92
34	49	91
35	50	88
36	51	87
37	52	85
38	54	85
39	55	83
40	56	81
41	56	78
42	57	76
43	58	74
44	60	73
45	61	72
46	62	70
47	63	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	76	50
60	78	50
61	79	48
62	81	47
63	82	46
64	83	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	113	8
93	114	7
94	115	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
